title,artist,effect,LT,CH,EX,IN,source
Lotus_Love ～ UnQua_Remix[One Hand],Unlimited_Quasar,GRI,,,,17.5,東方音射撃 壱 vol.2
秋草千日紅[NOTES&ONE-HAND],yoho,GRI,,,,19.6,RGMES Expedition Package vol.1
Berakhir[respectGM ONE-HAND],unatra,GRI,,,,19.6,SF2016 No.61-86
Inertia[modern×classic],yoho,GRI,,,17,17.5,over199 vol.2
Inertia[modern×legacy],yoho,GRI,,,,19.4,over199 vol.2
望影の方舟Six[connect],Se-U-Ra,GRI,,,,20.3,天界の使者～Battle of angels～
Caeruleus,chip,GRI,,,,18.2,K-Shoot MANIA
disturb the mind[modern],ネコーン,GRI,,,,18.6,Journey_of_KANSHA_vol1
荒原の瞬き (飛翔そして大回転)[respect99],Jeipouju,GRI,,,18,18.4,[OiivsU] over199 2ndstyle
荒原の瞬き (飛翔そして大回転)[respect99],Jeipouju,GRI,,,,19.9,[OiivsU] over199 2ndstyle
Megaton◇Pancake[HAND-TRIP],chip,GRI◇バズカット,,,,18.6,SFES2019
Murder Doll(KSM_Edit)[respect7],Blast Smith,GRI,,,,17.0,SFES2020
Orphen[modern?],l'avenir proche,GRI,,,,18.0,SFES2022
QE Festa[modern],zEnsEn,GRI,,,,18.1,SFES2020
Re:サクラメモリ。feat.SHIDO[modern],村瀬悠太feat.SHIDO,GRI S-Style,,,,16,K-Shoot MANIA
def preclude_catastrophe(quantize):[modern],Lucifer,GRI,,,,19.5,Eupholic Selections vol.2
Is∞ing[OH],Suzuka,GRI,,,,17.0,Eupholic Selections vol.2
Ne9R0[SSS],beth_tear,GRI SSS-Style,,,,17.5,Eupholic Selections vol.2
2nd generation program[modern],タケミ,GRIと☆†竹取の翁†☆,,,,19.3,Journey_of_KANSHA_vol1
心上の睡蓮[OH],Meuyoshi (いかみん) feat. 晃.,GRI,,,,18.5,SFES2020
soar to O[modern],Aoi,GRI,,,,18.3,SF2016 No.31-60
Starry Wisdom[modern],睡蓮 vs.HAMA,GRI,,,,18.4,SF2016 No.01-30
strike_back[modern],xima,GRI,,,17,17.5,Journey_of_KANSHA_vol1
strike_back[nextGeneration],xima,GRI,,,,19.0,Journey_of_KANSHA_vol1
The Oscillation(2022 Mix)[S],Normal1zer,GRI S-Style,,,17,17.0,SFES2022
The Oscillation(2022 Mix)[SSS],Normal1zer,GRI SSS-Style via Various Effector,,,,17.5,SFES2022
TOUHOU BOSS RUSH[modern],M-UE Sound Team,GRI,,,,18.1,SFES2022
WHITEHOLE -out of existence-[modern],冥王,GRI,,,,17.5,WHITEHOLE
